사용자아이디,영화아이디,평점,타임스탬프,성별,연령,직업,지역,영화제목,장르
681,48,3,975603670,M,35,7,30501,Pocahontas (1995),Animation|Children's|Musical|Romance
705,48,2,975547582,M,25,4,48065,Pocahontas (1995),Animation|Children's|Musical|Romance
714,48,3,975782747,M,18,4,76013,Pocahontas (1995),Animation|Children's|Musical|Romance
720,48,2,975529866,M,18,0,55129,Pocahontas (1995),Animation|Children's|Musical|Romance
733,48,5,975481489,M,35,16,30034,Pocahontas (1995),Animation|Children's|Musical|Romance
746,48,1,975469350,F,18,19,95019,Pocahontas (1995),Animation|Children's|Musical|Romance
753,48,2,975460995,M,1,10,42754,Pocahontas (1995),Animation|Children's|Musical|Romance
765,48,5,975454105,M,25,17,74467,Pocahontas (1995),Animation|Children's|Musical|Romance
780,48,2,975436143,M,25,17,91776,Pocahontas (1995),Animation|Children's|Musical|Romance
798,48,5,975406248,F,25,20,48464,Pocahontas (1995),Animation|Children's|Musical|Romance
800,48,1,975402354,F,35,12,72032,Pocahontas (1995),Animation|Children's|Musical|Romance
817,48,4,975389820,M,18,4,41076,Pocahontas (1995),Animation|Children's|Musical|Romance
822,48,4,975381515,F,25,1,7666,Pocahontas (1995),Animation|Children's|Musical|Romance
836,48,1,975360868,M,25,11,10023,Pocahontas (1995),Animation|Children's|Musical|Romance
854,48,2,975351956,F,25,16,44092,Pocahontas (1995),Animation|Children's|Musical|Romance
866,48,3,975277708,M,1,10,8820,Pocahontas (1995),Animation|Children's|Musical|Romance
869,48,4,975280390,M,18,20,92026,Pocahontas (1995),Animation|Children's|Musical|Romance
888,48,4,975256804,F,1,10,8820,Pocahontas (1995),Animation|Children's|Musical|Romance
889,48,2,975249874,M,45,20,10024,Pocahontas (1995),Animation|Children's|Musical|Romance
890,48,4,980135376,M,18,4,92153,Pocahontas (1995),Animation|Children's|Musical|Romance
956,48,3,975131742,M,35,1,55104,Pocahontas (1995),Animation|Children's|Musical|Romance
980,48,2,975731272,M,25,6,92014,Pocahontas (1995),Animation|Children's|Musical|Romance
1004,48,2,975046390,M,25,3,95136,Pocahontas (1995),Animation|Children's|Musical|Romance
1010,48,1,975225327,M,25,0,10310,Pocahontas (1995),Animation|Children's|Musical|Romance
1032,48,4,974999474,M,50,16,19425,Pocahontas (1995),Animation|Children's|Musical|Romance
1050,48,2,974963113,M,25,1,97302,Pocahontas (1995),Animation|Children's|Musical|Romance
1051,48,1,987220290,F,25,0,60513,Pocahontas (1995),Animation|Children's|Musical|Romance
1068,48,3,975015148,F,18,4,77581,Pocahontas (1995),Animation|Children's|Musical|Romance
1088,48,2,1011263058,F,1,10,98103,Pocahontas (1995),Animation|Children's|Musical|Romance
1092,48,4,978282224,F,18,4,49525,Pocahontas (1995),Animation|Children's|Musical|Romance
1100,48,1,974923979,M,25,0,60090,Pocahontas (1995),Animation|Children's|Musical|Romance
1101,48,3,1037992657,M,35,1,6417,Pocahontas (1995),Animation|Children's|Musical|Romance
1112,48,5,974948542,M,18,6,19104,Pocahontas (1995),Animation|Children's|Musical|Romance
1117,48,2,975694668,M,18,14,10017,Pocahontas (1995),Animation|Children's|Musical|Romance
1120,48,2,974912160,M,18,4,95616,Pocahontas (1995),Animation|Children's|Musical|Romance
1125,48,4,1001874251,F,18,4,53715,Pocahontas (1995),Animation|Children's|Musical|Romance
1142,48,3,996808219,M,18,1,43623,Pocahontas (1995),Animation|Children's|Musical|Romance
1158,48,4,974865820,F,35,1,98026,Pocahontas (1995),Animation|Children's|Musical|Romance
1193,48,1,974853290,M,25,12,90712,Pocahontas (1995),Animation|Children's|Musical|Romance
1203,48,3,998232550,F,25,1,6417,Pocahontas (1995),Animation|Children's|Musical|Romance
1207,48,4,974911613,M,50,0,43617,Pocahontas (1995),Animation|Children's|Musical|Romance
1241,48,4,974832208,M,1,10,11803,Pocahontas (1995),Animation|Children's|Musical|Romance
1271,48,3,974816081,F,45,6,54401,Pocahontas (1995),Animation|Children's|Musical|Romance
1298,48,3,974841339,M,35,6,33615,Pocahontas (1995),Animation|Children's|Musical|Romance
1311,48,4,974788474,M,18,10,90274,Pocahontas (1995),Animation|Children's|Musical|Romance
1314,48,1,974782627,F,18,4,68154,Pocahontas (1995),Animation|Children's|Musical|Romance
1325,48,2,974777378,M,25,1,75230,Pocahontas (1995),Animation|Children's|Musical|Romance
1348,48,4,982793124,F,1,10,4240,Pocahontas (1995),Animation|Children's|Musical|Romance
1386,48,1,975347832,F,25,0,7026,Pocahontas (1995),Animation|Children's|Musical|Romance
1389,48,2,974769634,M,25,17,19801,Pocahontas (1995),Animation|Children's|Musical|Romance
1422,48,2,978469623,M,35,17,55934,Pocahontas (1995),Animation|Children's|Musical|Romance
1425,48,3,975455012,M,1,10,8872,Pocahontas (1995),Animation|Children's|Musical|Romance
1426,48,3,974762605,M,18,14,94070,Pocahontas (1995),Animation|Children's|Musical|Romance
1427,48,2,974843105,M,25,12,21401,Pocahontas (1995),Animation|Children's|Musical|Romance
1476,48,2,974752906,F,18,0,91030,Pocahontas (1995),Animation|Children's|Musical|Romance
1495,48,3,974761205,M,18,0,77341,Pocahontas (1995),Animation|Children's|Musical|Romance
1524,48,4,974750820,M,18,4,6459,Pocahontas (1995),Animation|Children's|Musical|Romance
1542,48,3,974745664,M,18,17,12054,Pocahontas (1995),Animation|Children's|Musical|Romance
1543,48,2,974743629,M,25,11,10549,Pocahontas (1995),Animation|Children's|Musical|Romance
1552,48,3,974742937,M,45,20,10021,Pocahontas (1995),Animation|Children's|Musical|Romance
1594,48,2,975211866,F,35,20,10013,Pocahontas (1995),Animation|Children's|Musical|Romance
1599,48,4,1027270276,M,25,0,92646,Pocahontas (1995),Animation|Children's|Musical|Romance
1605,48,4,975382217,F,18,0,28270,Pocahontas (1995),Animation|Children's|Musical|Romance
1609,48,2,974748603,F,35,9,6830,Pocahontas (1995),Animation|Children's|Musical|Romance
1611,48,3,987655327,M,25,0,3867,Pocahontas (1995),Animation|Children's|Musical|Romance
1635,48,2,975129713,M,25,0,97212,Pocahontas (1995),Animation|Children's|Musical|Romance
1675,48,4,975245477,F,25,6,97116,Pocahontas (1995),Animation|Children's|Musical|Romance
1676,48,4,974711559,M,18,4,91301,Pocahontas (1995),Animation|Children's|Musical|Romance
1680,48,1,974839955,M,25,20,95380,Pocahontas (1995),Animation|Children's|Musical|Romance
1689,48,3,974707919,M,35,5,98465,Pocahontas (1995),Animation|Children's|Musical|Romance
1698,48,3,974770654,M,35,2,97214,Pocahontas (1995),Animation|Children's|Musical|Romance
1710,48,1,983746440,M,18,0,94530,Pocahontas (1995),Animation|Children's|Musical|Romance
1716,48,3,974708858,M,25,0,43229,Pocahontas (1995),Animation|Children's|Musical|Romance
1746,48,5,974848905,M,25,4,33157,Pocahontas (1995),Animation|Children's|Musical|Romance
1755,48,4,1029989451,F,18,4,77005,Pocahontas (1995),Animation|Children's|Musical|Romance
1780,48,5,1010683801,M,35,1,22181,Pocahontas (1995),Animation|Children's|Musical|Romance
1792,48,3,974698796,F,25,2,53523,Pocahontas (1995),Animation|Children's|Musical|Romance
1850,48,4,974697762,M,18,5,12582,Pocahontas (1995),Animation|Children's|Musical|Romance
1880,48,3,974697728,M,35,0,91006,Pocahontas (1995),Animation|Children's|Musical|Romance
1883,48,2,974877658,F,50,0,94521,Pocahontas (1995),Animation|Children's|Musical|Romance
1904,48,3,974758096,M,18,1,30115,Pocahontas (1995),Animation|Children's|Musical|Romance
1912,48,1,994925170,M,25,4,91325,Pocahontas (1995),Animation|Children's|Musical|Romance
1920,48,3,974777954,F,35,7,80122,Pocahontas (1995),Animation|Children's|Musical|Romance
1926,48,5,974773878,F,1,0,95404,Pocahontas (1995),Animation|Children's|Musical|Romance
1938,48,3,974694749,F,25,2,91351,Pocahontas (1995),Animation|Children's|Musical|Romance
1941,48,4,974855093,M,35,17,94550,Pocahontas (1995),Animation|Children's|Musical|Romance
1950,48,3,974699815,M,25,12,49024,Pocahontas (1995),Animation|Children's|Musical|Romance
1958,48,3,974858737,F,25,1,17055,Pocahontas (1995),Animation|Children's|Musical|Romance
1962,48,2,975778501,F,18,1,60914,Pocahontas (1995),Animation|Children's|Musical|Romance
1969,48,4,974689434,F,25,3,92116,Pocahontas (1995),Animation|Children's|Musical|Romance
1980,48,3,974772021,M,35,7,6460,Pocahontas (1995),Animation|Children's|Musical|Romance
2010,48,3,974688022,M,18,4,81520,Pocahontas (1995),Animation|Children's|Musical|Romance
2029,48,1,974670797,F,25,12,10011,Pocahontas (1995),Animation|Children's|Musical|Romance
2030,48,3,977809337,M,25,4,77345,Pocahontas (1995),Animation|Children's|Musical|Romance
2063,48,4,974664272,M,25,4,43138,Pocahontas (1995),Animation|Children's|Musical|Romance
2068,48,3,974659767,F,35,12,43528,Pocahontas (1995),Animation|Children's|Musical|Romance
2071,48,3,974657448,M,45,7,1605,Pocahontas (1995),Animation|Children's|Musical|Romance
2073,48,5,974659230,F,18,4,13148,Pocahontas (1995),Animation|Children's|Musical|Romance
2091,48,4,974655924,F,35,20,48044,Pocahontas (1995),Animation|Children's|Musical|Romance
2100,48,3,974671594,F,25,0,24017,Pocahontas (1995),Animation|Children's|Musical|Romance
2106,48,1,975441214,F,18,20,495321,Pocahontas (1995),Animation|Children's|Musical|Romance
2109,48,3,974664658,M,25,16,13090,Pocahontas (1995),Animation|Children's|Musical|Romance
2116,48,4,974663586,M,18,4,49546,Pocahontas (1995),Animation|Children's|Musical|Romance
2125,48,4,977029197,M,35,3,46033,Pocahontas (1995),Animation|Children's|Musical|Romance
2136,48,4,974643605,M,35,18,13027,Pocahontas (1995),Animation|Children's|Musical|Romance
2147,48,3,974623178,F,18,0,60641,Pocahontas (1995),Animation|Children's|Musical|Romance
2148,48,4,974621586,F,18,0,81301,Pocahontas (1995),Animation|Children's|Musical|Romance
2180,48,3,974610766,M,25,12,27713-9225,Pocahontas (1995),Animation|Children's|Musical|Romance
2181,48,2,974613079,M,25,0,45245,Pocahontas (1995),Animation|Children's|Musical|Romance
2214,48,3,974603440,F,25,1,46807,Pocahontas (1995),Animation|Children's|Musical|Romance
2223,48,3,975263846,M,25,2,60123,Pocahontas (1995),Animation|Children's|Musical|Romance
2231,48,3,974597867,M,50,11,85726,Pocahontas (1995),Animation|Children's|Musical|Romance
2255,48,2,974590855,F,35,6,44303,Pocahontas (1995),Animation|Children's|Musical|Romance
2258,48,2,982437648,F,18,4,10033,Pocahontas (1995),Animation|Children's|Musical|Romance
2340,48,3,974505995,M,35,2,48104,Pocahontas (1995),Animation|Children's|Musical|Romance
2350,48,3,976142890,M,18,4,44312,Pocahontas (1995),Animation|Children's|Musical|Romance
2424,48,3,974691978,M,25,17,95035,Pocahontas (1995),Animation|Children's|Musical|Romance
2425,48,2,974239792,F,35,14,45243,Pocahontas (1995),Animation|Children's|Musical|Romance
2444,48,3,974578880,F,45,4,42420,Pocahontas (1995),Animation|Children's|Musical|Romance
2457,48,3,974181417,M,25,0,60656,Pocahontas (1995),Animation|Children's|Musical|Romance
2467,48,3,974160509,M,1,10,44224,Pocahontas (1995),Animation|Children's|Musical|Romance
2506,48,3,974078664,F,25,14,98225,Pocahontas (1995),Animation|Children's|Musical|Romance
2507,48,3,974083162,M,25,4,94107,Pocahontas (1995),Animation|Children's|Musical|Romance
2519,48,3,974068443,F,45,2,14850,Pocahontas (1995),Animation|Children's|Musical|Romance
2529,48,4,974056577,F,35,9,95903,Pocahontas (1995),Animation|Children's|Musical|Romance
2533,48,4,974056702,F,25,3,49423,Pocahontas (1995),Animation|Children's|Musical|Romance
2562,48,3,973982736,M,18,0,98021,Pocahontas (1995),Animation|Children's|Musical|Romance
2565,48,4,973971901,M,35,5,34786,Pocahontas (1995),Animation|Children's|Musical|Romance
2566,48,3,973966808,M,35,17,94022,Pocahontas (1995),Animation|Children's|Musical|Romance
2621,48,3,973657124,M,18,0,46304,Pocahontas (1995),Animation|Children's|Musical|Romance
2656,48,4,973530489,M,56,13,32837,Pocahontas (1995),Animation|Children's|Musical|Romance
2665,48,4,974386260,M,35,11,98443,Pocahontas (1995),Animation|Children's|Musical|Romance
2699,48,2,973306689,F,56,13,74128,Pocahontas (1995),Animation|Children's|Musical|Romance
2734,48,4,973228633,F,18,4,2912,Pocahontas (1995),Animation|Children's|Musical|Romance
2748,48,1,973208781,M,25,4,85719,Pocahontas (1995),Animation|Children's|Musical|Romance
2777,48,4,973052158,M,18,4,95326,Pocahontas (1995),Animation|Children's|Musical|Romance
2796,48,2,997320709,M,25,14,92104,Pocahontas (1995),Animation|Children's|Musical|Romance
2810,48,4,972772099,F,1,10,64093,Pocahontas (1995),Animation|Children's|Musical|Romance
2837,48,1,972572811,M,18,0,49506,Pocahontas (1995),Animation|Children's|Musical|Romance
2848,48,3,972514287,M,25,0,47401,Pocahontas (1995),Animation|Children's|Musical|Romance
2878,48,3,972791972,F,50,20,88005,Pocahontas (1995),Animation|Children's|Musical|Romance
2887,48,4,972154553,M,25,3,66205,Pocahontas (1995),Animation|Children's|Musical|Romance
2889,48,3,972097352,M,35,3,55104,Pocahontas (1995),Animation|Children's|Musical|Romance
2896,48,4,972062965,M,18,14,60073,Pocahontas (1995),Animation|Children's|Musical|Romance
2909,48,2,971973190,M,25,7,43228,Pocahontas (1995),Animation|Children's|Musical|Romance
2926,48,3,1006659311,F,18,2,55118,Pocahontas (1995),Animation|Children's|Musical|Romance
2934,48,4,971487621,F,35,20,91324,Pocahontas (1995),Animation|Children's|Musical|Romance
2941,48,3,971345835,M,35,12,98033,Pocahontas (1995),Animation|Children's|Musical|Romance
2953,48,3,971211772,M,25,20,23225,Pocahontas (1995),Animation|Children's|Musical|Romance
2963,48,3,971125937,F,18,4,48104,Pocahontas (1995),Animation|Children's|Musical|Romance
2990,48,4,970954274,M,35,12,45243,Pocahontas (1995),Animation|Children's|Musical|Romance
2996,48,3,972701465,M,18,0,63011,Pocahontas (1995),Animation|Children's|Musical|Romance
2998,48,2,970664141,F,25,1,45241,Pocahontas (1995),Animation|Children's|Musical|Romance
3025,48,4,970463617,F,35,0,90004,Pocahontas (1995),Animation|Children's|Musical|Romance
3029,48,1,970365011,M,18,4,92037,Pocahontas (1995),Animation|Children's|Musical|Romance
3032,48,5,970345933,M,25,0,47303,Pocahontas (1995),Animation|Children's|Musical|Romance
3033,48,2,970290934,M,18,4,2906,Pocahontas (1995),Animation|Children's|Musical|Romance
3067,48,4,969998408,F,25,0,2148,Pocahontas (1995),Animation|Children's|Musical|Romance
3087,48,4,969682895,F,1,1,90802,Pocahontas (1995),Animation|Children's|Musical|Romance
3095,48,5,969644841,F,25,3,6810,Pocahontas (1995),Animation|Children's|Musical|Romance
3096,48,5,969643479,F,45,3,38028,Pocahontas (1995),Animation|Children's|Musical|Romance
3163,48,3,969049974,M,18,15,95616,Pocahontas (1995),Animation|Children's|Musical|Romance
3174,48,2,969293065,F,18,14,10018,Pocahontas (1995),Animation|Children's|Musical|Romance
3202,48,4,968574026,F,18,4,24060,Pocahontas (1995),Animation|Children's|Musical|Romance
3205,48,4,968565962,F,35,16,80304,Pocahontas (1995),Animation|Children's|Musical|Romance
3217,48,4,968781877,F,35,0,92630,Pocahontas (1995),Animation|Children's|Musical|Romance
3274,48,2,979766782,M,25,20,2062,Pocahontas (1995),Animation|Children's|Musical|Romance
3308,48,2,967993572,F,18,20,15701-1348,Pocahontas (1995),Animation|Children's|Musical|Romance
3328,48,4,968014483,M,56,19,91790-1161,Pocahontas (1995),Animation|Children's|Musical|Romance
3363,48,3,1011635985,F,35,9,4046,Pocahontas (1995),Animation|Children's|Musical|Romance
3378,48,3,967821750,M,18,4,48135,Pocahontas (1995),Animation|Children's|Musical|Romance
3401,48,2,980116878,M,35,7,76109,Pocahontas (1995),Animation|Children's|Musical|Romance
3402,48,1,967644353,M,35,20,30306,Pocahontas (1995),Animation|Children's|Musical|Romance
3403,48,3,967431326,M,35,5,48342,Pocahontas (1995),Animation|Children's|Musical|Romance
3410,48,3,967420640,M,35,1,20653,Pocahontas (1995),Animation|Children's|Musical|Romance
3445,48,3,967280062,F,35,20,92009,Pocahontas (1995),Animation|Children's|Musical|Romance
3454,48,3,968198977,M,18,0,92122,Pocahontas (1995),Animation|Children's|Musical|Romance
3458,48,4,967225013,M,45,0,2131,Pocahontas (1995),Animation|Children's|Musical|Romance
3469,48,3,967156938,M,45,17,2176,Pocahontas (1995),Animation|Children's|Musical|Romance
3490,48,4,967048479,M,25,0,74136,Pocahontas (1995),Animation|Children's|Musical|Romance
3519,48,3,968433819,F,25,14,11215,Pocahontas (1995),Animation|Children's|Musical|Romance
3526,48,3,967610986,M,35,2,62263-3004,Pocahontas (1995),Animation|Children's|Musical|Romance
3569,48,1,968264495,F,18,2,48823,Pocahontas (1995),Animation|Children's|Musical|Romance
3576,48,3,966723027,M,50,7,68046,Pocahontas (1995),Animation|Children's|Musical|Romance
3579,48,3,966709673,M,18,0,32219,Pocahontas (1995),Animation|Children's|Musical|Romance
3590,48,2,966654835,F,18,15,2115,Pocahontas (1995),Animation|Children's|Musical|Romance
3601,48,4,966642067,F,35,3,95405,Pocahontas (1995),Animation|Children's|Musical|Romance
3610,48,1,974824801,M,18,6,30064,Pocahontas (1995),Animation|Children's|Musical|Romance
3648,48,2,994802490,M,18,4,85210,Pocahontas (1995),Animation|Children's|Musical|Romance
3650,48,2,966460980,M,25,0,60611,Pocahontas (1995),Animation|Children's|Musical|Romance
3667,48,2,966386015,F,1,10,10706,Pocahontas (1995),Animation|Children's|Musical|Romance
3675,48,3,966364530,M,35,7,6680,Pocahontas (1995),Animation|Children's|Musical|Romance
3682,48,3,966354871,F,50,1,10706,Pocahontas (1995),Animation|Children's|Musical|Romance
3687,48,4,966316021,F,50,1,62221,Pocahontas (1995),Animation|Children's|Musical|Romance
3715,48,3,966266599,M,18,5,55428,Pocahontas (1995),Animation|Children's|Musical|Romance
3824,48,3,978125707,M,25,17,32308,Pocahontas (1995),Animation|Children's|Musical|Romance
3834,48,4,966371853,M,18,2,2322,Pocahontas (1995),Animation|Children's|Musical|Romance
3836,48,2,966184726,F,50,8,84770,Pocahontas (1995),Animation|Children's|Musical|Romance
3847,48,1,965880670,M,25,7,12801,Pocahontas (1995),Animation|Children's|Musical|Romance
3858,48,5,965871849,F,45,9,63119,Pocahontas (1995),Animation|Children's|Musical|Romance
3934,48,1,965709172,M,25,0,44512,Pocahontas (1995),Animation|Children's|Musical|Romance
3940,48,1,965697941,M,35,20,32708,Pocahontas (1995),Animation|Children's|Musical|Romance
3951,48,4,965677917,F,18,4,60014,Pocahontas (1995),Animation|Children's|Musical|Romance
3958,48,4,965673128,M,45,7,46112,Pocahontas (1995),Animation|Children's|Musical|Romance
3963,48,3,1018672998,M,50,20,30030,Pocahontas (1995),Animation|Children's|Musical|Romance
3979,48,5,965627821,F,50,9,59072,Pocahontas (1995),Animation|Children's|Musical|Romance
3992,48,4,965592536,M,25,4,32653,Pocahontas (1995),Animation|Children's|Musical|Romance
4048,48,2,965497559,F,35,1,89431,Pocahontas (1995),Animation|Children's|Musical|Romance
4064,48,5,965481128,M,45,0,20851,Pocahontas (1995),Animation|Children's|Musical|Romance
4086,48,5,965433621,F,1,10,55391,Pocahontas (1995),Animation|Children's|Musical|Romance
4089,48,1,965430352,M,25,7,79416,Pocahontas (1995),Animation|Children's|Musical|Romance
4127,48,4,965354722,M,50,17,16803,Pocahontas (1995),Animation|Children's|Musical|Romance
4140,48,3,965352793,M,25,0,32112,Pocahontas (1995),Animation|Children's|Musical|Romance
4186,48,2,965328247,M,25,7,33308,Pocahontas (1995),Animation|Children's|Musical|Romance
4224,48,4,965317840,F,45,1,48198,Pocahontas (1995),Animation|Children's|Musical|Romance
4258,48,2,966004725,M,25,17,19711,Pocahontas (1995),Animation|Children's|Musical|Romance
4261,48,4,965305640,F,35,6,7950,Pocahontas (1995),Animation|Children's|Musical|Romance
4265,48,4,965306331,M,25,12,3060,Pocahontas (1995),Animation|Children's|Musical|Romance
4268,48,1,965306025,F,45,20,4046,Pocahontas (1995),Animation|Children's|Musical|Romance
4300,48,2,965267352,F,18,4,98125,Pocahontas (1995),Animation|Children's|Musical|Romance
4352,48,3,965233058,M,18,4,11010,Pocahontas (1995),Animation|Children's|Musical|Romance
4360,48,2,965187965,F,25,9,98001,Pocahontas (1995),Animation|Children's|Musical|Romance
4371,48,4,965181394,F,18,4,63109,Pocahontas (1995),Animation|Children's|Musical|Romance
4387,48,4,965251063,F,18,4,63109,Pocahontas (1995),Animation|Children's|Musical|Romance
4425,48,3,965110483,M,35,7,98607,Pocahontas (1995),Animation|Children's|Musical|Romance
4456,48,4,965230500,F,35,2,49770,Pocahontas (1995),Animation|Children's|Musical|Romance
4465,48,1,971158981,M,18,4,2148,Pocahontas (1995),Animation|Children's|Musical|Romance
4480,48,2,965025381,M,25,0,94403,Pocahontas (1995),Animation|Children's|Musical|Romance
4510,48,1,966827318,M,45,7,92503,Pocahontas (1995),Animation|Children's|Musical|Romance
4541,48,3,964713210,M,1,10,55427,Pocahontas (1995),Animation|Children's|Musical|Romance
4555,48,4,964547271,F,18,9,73008,Pocahontas (1995),Animation|Children's|Musical|Romance
4568,48,3,964478586,F,25,4,90034,Pocahontas (1995),Animation|Children's|Musical|Romance
4572,48,5,964461332,F,1,10,17036,Pocahontas (1995),Animation|Children's|Musical|Romance
4579,48,3,1008575898,F,18,4,63332,Pocahontas (1995),Animation|Children's|Musical|Romance
4591,48,3,964325680,M,25,15,2143,Pocahontas (1995),Animation|Children's|Musical|Romance
4633,48,3,964036771,M,1,0,48302,Pocahontas (1995),Animation|Children's|Musical|Romance
4635,48,3,964035134,M,18,4,94703,Pocahontas (1995),Animation|Children's|Musical|Romance
4637,48,4,964032876,F,35,9,48302,Pocahontas (1995),Animation|Children's|Musical|Romance
4645,48,5,963976453,F,50,6,48094,Pocahontas (1995),Animation|Children's|Musical|Romance
4653,48,3,975534576,M,35,12,95051,Pocahontas (1995),Animation|Children's|Musical|Romance
4655,48,3,963903021,F,25,1,92037,Pocahontas (1995),Animation|Children's|Musical|Romance
4658,48,2,963966849,M,25,4,99163,Pocahontas (1995),Animation|Children's|Musical|Romance
4659,48,5,963876049,F,25,14,37076,Pocahontas (1995),Animation|Children's|Musical|Romance
4697,48,3,1026112054,M,18,10,79605,Pocahontas (1995),Animation|Children's|Musical|Romance
4704,48,2,963545849,M,18,20,2601,Pocahontas (1995),Animation|Children's|Musical|Romance
4718,48,4,963428941,M,35,7,3885,Pocahontas (1995),Animation|Children's|Musical|Romance
4725,48,2,963364873,M,35,5,96707-1321,Pocahontas (1995),Animation|Children's|Musical|Romance
4726,48,2,963989067,F,35,16,95828,Pocahontas (1995),Animation|Children's|Musical|Romance
4732,48,3,963407420,M,25,14,24450,Pocahontas (1995),Animation|Children's|Musical|Romance
4750,48,3,963194118,F,25,0,91107,Pocahontas (1995),Animation|Children's|Musical|Romance
4785,48,3,963004398,F,25,14,55104,Pocahontas (1995),Animation|Children's|Musical|Romance
4786,48,3,963007840,M,45,6,22630,Pocahontas (1995),Animation|Children's|Musical|Romance
4800,48,1,962945697,M,18,4,80521,Pocahontas (1995),Animation|Children's|Musical|Romance
4808,48,2,962944828,M,35,0,96707-1321,Pocahontas (1995),Animation|Children's|Musical|Romance
4819,48,5,962921075,M,35,18,17350,Pocahontas (1995),Animation|Children's|Musical|Romance
4826,48,4,962913553,M,45,12,55436,Pocahontas (1995),Animation|Children's|Musical|Romance
4855,48,1,962846590,M,25,12,90034,Pocahontas (1995),Animation|Children's|Musical|Romance
